review_status,reviewed_by,review_notes,reviewed_at,match_status,audio_id,audio_title,audio_artist,audio_book,audio_book_full_name,audio_category,audio_number,audio_version,audio_duration_seconds,audio_s3_key,audio_url,lyrics_text_id,confidence,reason,source_book,source_number,source_title,source_url
approved,,,2026-05-02T21:03:16.940Z,likely,6951ada6b0b75a82ff162b82,À Celui qui nous a lavés,,C.V,Chants de Victoire,Chants de Victoire,17,,175,music_audio/Chants de Victoire/C.V 17 À Celui qui nous a lavés.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music_audio/Chants de Victoire/C.V 17 À Celui qui nous a lavés.mp3,indirimbo-zikundwa:chants-de-victoire:017:a-celui-qui-nous-a-laves,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Chants de Victoire,17,A Celui qui nous a lavés,https://indirimbo-zikundwa.bi/Indirimbo/C-Victoire-017.html
ready_for_sync,,,2026-05-02T20:17:39.668Z,likely,6951b45eb0b75a82ff162dbd,A de nouveaux combats,,A.F,Sur les Ailes de la Foi,Sur les Ailes de la Foi,370,,284,music_audio/Sur les Ailes de la Foi/A.F 370 A de nouveaux combats.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music_audio/Sur les Ailes de la Foi/A.F 370 A de nouveaux combats.mp3,indirimbo-zikundwa:les-ailes-de-la-foi:370:a-de-nouveaux-combats,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Les Ailes de la Foi,370,À de nouveaux combats,https://indirimbo-zikundwa.bi/Indirimbo/A-Foi-370.html
,,,,likely,6951ab67b0b75a82ff162aca,A l'appel de Dieu répondrai-je,,Izindi,Izindi,Izindi,164,,149,music_audio/Izindi/Izindi 164 A l'appel de Dieu répondrai-je.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music_audio/Izindi/Izindi 164 A l'appel de Dieu répondrai-je.mp3,indirimbo-zikundwa:izindi:164:a-lappel-de-dieu-repondrai-je,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Izindi,164,À L’APPEL DE DIEU RÉPONDRAI-JE,https://indirimbo-zikundwa.bi/Indirimbo/Izindi-164.html
,,,,likely,6951b3dbb0b75a82ff162d90,À Tes pieds ô divin Maître,,C.V,Chants de Victoire,Chants de Victoire,140,,218,music_audio/Chants de Victoire/C.V 140 À Tes pieds ô divin Maître.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music_audio/Chants de Victoire/C.V 140 À Tes pieds ô divin Maître.mp3,indirimbo-zikundwa:chants-de-victoire:140:a-tes-pieds-o-divin-maitre,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Chants de Victoire,140,"À tes pieds, ô divin Maître!",https://indirimbo-zikundwa.bi/Indirimbo/C-Victoire-140.html
,,,,likely,6951ad73b0b75a82ff162b6f,"A toi, mon Dieu je m'abandonne",,C.V,Chants de Victoire,Chants de Victoire,170,,234,"music_audio/Chants de Victoire/C.V 170 A toi, mon Dieu je m'abandonne.mp3","https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music_audio/Chants de Victoire/C.V 170 A toi, mon Dieu je m'abandonne.mp3",indirimbo-zikundwa:chants-de-victoire:170:a-toi-mon-dieu-je-mabandonne,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Chants de Victoire,170,"A toi, mon Dieu, je m’abandonne",https://indirimbo-zikundwa.bi/Indirimbo/C-Victoire-170.html
,,,,likely,69ed6181266420ae4bd24f5a,A.F 1 Qu'on batte des mains,,Les Ailes de la Foi,Les Ailes de la Foi,Sur les Ailes de la Foi,1,,112.052245,music-audio/Sur les Ailes de la Foi/1777164667682-a.f_1_qu_on_batte_des_mains.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music-audio/Sur les Ailes de la Foi/1777164667682-a.f_1_qu_on_batte_des_mains.mp3,indirimbo-zikundwa:les-ailes-de-la-foi:001:quon-batte-des-mains,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Les Ailes de la Foi,1,Qu’on batte des mains,https://indirimbo-zikundwa.bi/Indirimbo/A-Foi-001.html
,,,,likely,69ed618219f39673fff67701,A.F 102 Rédempteur Adorable,,Les Ailes de la Foi,Les Ailes de la Foi,Sur les Ailes de la Foi,102,,168.32,music-audio/Sur les Ailes de la Foi/1777164667679-a.f_102_redempteur_adorable.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music-audio/Sur les Ailes de la Foi/1777164667679-a.f_102_redempteur_adorable.mp3,indirimbo-zikundwa:les-ailes-de-la-foi:102:redempteur-adorable,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Les Ailes de la Foi,102,Rédempteur Adorable,https://indirimbo-zikundwa.bi/Indirimbo/A-Foi-102.html
,,,,likely,69ed618119f39673fff676ff,A.F 103 Au combat de la vie,,Les Ailes de la Foi,Les Ailes de la Foi,Sur les Ailes de la Foi,103,,141.074286,music-audio/Sur les Ailes de la Foi/1777164667669-a.f_103_au_combat_de_la_vie.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music-audio/Sur les Ailes de la Foi/1777164667669-a.f_103_au_combat_de_la_vie.mp3,indirimbo-zikundwa:les-ailes-de-la-foi:103:au-combat-de-la-vie,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Les Ailes de la Foi,103,Au combat de la vie,https://indirimbo-zikundwa.bi/Indirimbo/A-Foi-103.html
,,,,likely,69ed618b19f39673fff67705,A.F 145 Comme une terre altérée,,Les Ailes de la Foi,Les Ailes de la Foi,Sur les Ailes de la Foi,145,,332.05551,music-audio/Sur les Ailes de la Foi/1777164674660-a.f_145_comme_une_terre_alteree.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music-audio/Sur les Ailes de la Foi/1777164674660-a.f_145_comme_une_terre_alteree.mp3,indirimbo-zikundwa:les-ailes-de-la-foi:145:comme-une-terre-alteree,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Les Ailes de la Foi,145,Comme une terre altérée,https://indirimbo-zikundwa.bi/Indirimbo/A-Foi-145.html
,,,,likely,69ed618619f39673fff67703,A.F 166 Béni soit le Lien,,Les Ailes de la Foi,Les Ailes de la Foi,Sur les Ailes de la Foi,166,,88.019592,music-audio/Sur les Ailes de la Foi/1777164674707-a.f_166_beni_soit_le_lien.mp3,https://missionnaire-bucket.s3.af-south-1.amazonaws.com/music-audio/Sur les Ailes de la Foi/1777164674707-a.f_166_beni_soit_le_lien.mp3,indirimbo-zikundwa:les-ailes-de-la-foi:166:beni-soit-le-lien,1.000,title:1.00 book:1.00 number:1.00 prefix:1.00,Les Ailes de la Foi,166,Béni soit le Lien,https://indirimbo-zikundwa.bi/Indirimbo/A-Foi-166.html
